room_id,check_in,check_out,room_name,room_plan,price
4e33e91489ad7ad5bfbe9607c9b5eea8,3/29/2025,3/30/2025,Deluxe Room Non View,EP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/29/2025,3/30/2025,Deluxe Room Non View,CP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/29/2025,3/30/2025,Deluxe Room Non View,CP,4883
6bd4c1fad5f0fda81f452b01e61a1a36,3/29/2025,3/30/2025,Super Deluxe Room With Balcony,EP,4636
6bd4c1fad5f0fda81f452b01e61a1a36,3/29/2025,3/30/2025,Super Deluxe Room With Balcony,CP,4636
6bd4c1fad5f0fda81f452b01e61a1a36,3/29/2025,3/30/2025,Super Deluxe Room With Balcony,CP,6099
5a9d8ba7ee6769e3aec572c063da3d29,3/30/2025,3/31/2025,Standard Room Non View,EP,3420
5a9d8ba7ee6769e3aec572c063da3d29,3/30/2025,3/31/2025,Standard Room Non View,CP,3420
5a9d8ba7ee6769e3aec572c063da3d29,3/30/2025,3/31/2025,Standard Room Non View,CP,4883
4e33e91489ad7ad5bfbe9607c9b5eea8,3/30/2025,3/31/2025,Deluxe Room Non View,EP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/30/2025,3/31/2025,Deluxe Room Non View,CP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/30/2025,3/31/2025,Deluxe Room Non View,CP,4883
5a9d8ba7ee6769e3aec572c063da3d29,3/31/2025,4/1/2025,Standard Room Non View,EP,3420
5a9d8ba7ee6769e3aec572c063da3d29,3/31/2025,4/1/2025,Standard Room Non View,CP,3420
5a9d8ba7ee6769e3aec572c063da3d29,3/31/2025,4/1/2025,Standard Room Non View,CP,4883
4e33e91489ad7ad5bfbe9607c9b5eea8,3/31/2025,4/1/2025,Deluxe Room Non View,EP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/31/2025,4/1/2025,Deluxe Room Non View,CP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,3/31/2025,4/1/2025,Deluxe Room Non View,CP,4883
6bd4c1fad5f0fda81f452b01e61a1a36,3/31/2025,4/1/2025,Super Deluxe Room With Balcony,EP,4636
6bd4c1fad5f0fda81f452b01e61a1a36,3/31/2025,4/1/2025,Super Deluxe Room With Balcony,CP,4636
6bd4c1fad5f0fda81f452b01e61a1a36,3/31/2025,4/1/2025,Super Deluxe Room With Balcony,CP,6099
4e33e91489ad7ad5bfbe9607c9b5eea8,4/1/2025,4/2/2025,Deluxe Room Non View,EP,3420
4e33e91489ad7ad5bfbe9607c9b5eea8,4/1/2025,4/2/2025,Deluxe Room Non View,CP,3420
